pair_id,drug_a,drug_b,evidence_tier,mechanism_count,mechanism_conflict,mechanism_types,split,split_seed
ADDI2-0055,citalopram,montelukast,T1_wellpowered,4,True,metab_transporter;pharmacogenetic;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0057,hydrocodone,famotidine,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0061,citalopram,methotrexate,T1_wellpowered,4,True,metab_transporter;pharmacogenetic;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0062,hydrocodone,methotrexate,T1_wellpowered,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0063,furosemide,dextromethorphan,T1_wellpowered,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0064,atenolol,ramipril,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0065,hydrocodone,diclofenac,T1_wellpowered,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0067,hydrocodone,meloxicam,T1_wellpowered,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0068,atenolol,pravastatin,T1_wellpowered,2,True,pharmacogenetic;transporter_inhibitor,development,20260819
ADDI2-0069,atenolol,ezetimibe,T1_wellpowered,1,True,transporter_inhibitor,development,20260819
ADDI2-0071,levetiracetam,albuterol,T1_wellpowered,0,False,,development,20260819
ADDI2-0073,citalopram,ramipril,T1_wellpowered,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0074,atenolol,venlafaxine,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0076,ondansetron,levetiracetam,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0078,allopurinol,citalopram,T1_wellpowered,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0080,citalopram,zopiclone,T1_wellpowered,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0081,salmeterol,citalopram,T1_wellpowered,3,True,biological_process;pharmacogenetic;pk_inhibitor,confirmatory,20260819
ADDI2-0082,metformin,levetiracetam,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0083,chlorpheniramine,hydrochlorothiazide,T1_wellpowered,2,True,pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0084,hydrocodone,warfarin,T1_wellpowered,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0086,hydrocodone,salmeterol,T1_wellpowered,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0089,atenolol,montelukast,T1_wellpowered,2,True,pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0090,hydrocodone,nitroglycerin,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0092,atenolol,famotidine,T1_wellpowered,2,True,biological_process;transporter_inhibitor,confirmatory,20260819
ADDI2-0093,ondansetron,atenolol,T1_wellpowered,2,True,biological_process;pharmacogenetic,confirmatory,20260819
ADDI2-0094,amoxicillin,citalopram,T1_wellpowered,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0096,famotidine,levetiracetam,T1_wellpowered,1,True,transporter_inhibitor,development,20260819
ADDI2-0097,citalopram,famotidine,T1_wellpowered,4,True,biological_process;metab_transporter;pk_inhibitor;transporter_inhibitor,development,20260819
ADDI2-0098,allopurinol,chlorpheniramine,T1_wellpowered,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0100,levetiracetam,quetiapine,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0101,metformin,dextromethorphan,T1_wellpowered,2,True,pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0103,atenolol,irbesartan,T1_wellpowered,1,True,pharmacogenetic,confirmatory,20260819
ADDI2-0105,levetiracetam,ibuprofen,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0106,hydrocodone,glipizide,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0108,hydrocodone,triamcinolone,T1_wellpowered,2,True,pk_inducer;pk_inhibitor,confirmatory,20260819
ADDI2-0109,chlorpheniramine,amoxicillin,T1_wellpowered,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0117,levetiracetam,clopidogrel,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0122,hydrochlorothiazide,levetiracetam,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0123,dextromethorphan,hydrochlorothiazide,T1_wellpowered,2,True,pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0124,atenolol,prednisolone,T1_wellpowered,2,True,biological_process;transporter_inhibitor,confirmatory,20260819
ADDI2-0125,famotidine,dextromethorphan,T1_wellpowered,4,True,biological_process;metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0129,levetiracetam,bisoprolol,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0132,allopurinol,levetiracetam,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0133,amoxicillin,levetiracetam,T1_wellpowered,1,True,transporter_inhibitor,development,20260819
ADDI2-0137,levetiracetam,rosuvastatin,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0139,hydrocodone,isosorbide,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0141,levetiracetam,prednisolone,T1_wellpowered,1,True,transporter_inhibitor,development,20260819
ADDI2-0143,montelukast,levetiracetam,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0144,amoxicillin,dextromethorphan,T1_wellpowered,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0155,atenolol,hydralazine,T1_wellpowered,0,False,,development,20260819
ADDI2-0157,atenolol,pioglitazone,T1_wellpowered,3,True,biological_process;pharmacogenetic;transporter_inhibitor,development,20260819
ADDI2-0158,atenolol,perindopril,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0159,atenolol,fenofibrate,T1_wellpowered,1,True,biological_process,confirmatory,20260819
ADDI2-0162,atenolol,finasteride,T1_wellpowered,1,True,pharmacogenetic,confirmatory,20260819
ADDI2-0163,azithromycin,atenolol,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0164,hydrocodone,fenofibrate,T1_wellpowered,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0165,hydrocodone,sitagliptin,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0166,ramipril,levetiracetam,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0170,hydrocodone,nitrofurantoin,T1_wellpowered,0,False,,development,20260819
ADDI2-0174,isosorbide,citalopram,T1_wellpowered,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0175,levetiracetam,olanzapine,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0177,atenolol,cyclosporine,T1_wellpowered,2,True,pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0178,hydrocodone,finasteride,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0180,citalopram,enalapril,T1_wellpowered,4,True,metab_transporter;pharmacogenetic;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0181,chlorpheniramine,nitroglycerin,T1_wellpowered,0,False,,development,20260819
ADDI2-0182,hydrocodone,glimepiride,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0185,lamotrigine,atenolol,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0188,allopurinol,dextromethorphan,T1_wellpowered,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0190,hydrocodone,lactulose,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0191,fluconazole,atenolol,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0192,atenolol,triamcinolone,T1_wellpowered,1,True,biological_process,confirmatory,20260819
ADDI2-0193,atenolol,gemfibrozil,T1_wellpowered,3,True,biological_process;pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0199,citalopram,finasteride,T1_wellpowered,2,True,pharmacogenetic;pk_inhibitor,confirmatory,20260819
ADDI2-0202,levetiracetam,warfarin,T1_wellpowered,0,False,,development,20260819
ADDI2-0205,citalopram,nitrofurantoin,T1_wellpowered,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0206,atenolol,metronidazole,T1_wellpowered,0,False,,development,20260819
ADDI2-0207,chlorpheniramine,sumatriptan,T1_wellpowered,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0209,triamcinolone,dextromethorphan,T1_wellpowered,3,True,biological_process;pk_inducer;pk_inhibitor,confirmatory,20260819
ADDI2-0212,citalopram,perindopril,T1_wellpowered,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0214,atenolol,colchicine,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0223,atenolol,clindamycin,T1_wellpowered,0,False,,development,20260819
ADDI2-0225,atenolol,sumatriptan,T1_wellpowered,2,True,biological_process;transporter_inhibitor,confirmatory,20260819
ADDI2-0226,hydrocodone,donepezil,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0227,dextromethorphan,nitroglycerin,T1_wellpowered,1,True,biological_process,confirmatory,20260819
ADDI2-0228,atenolol,nitrofurantoin,T1_wellpowered,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0229,atenolol,dextromethorphan,T1_wellpowered,3,True,biological_process;pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0234,atenolol,solifenacin,T1_wellpowered,1,True,biological_process,confirmatory,20260819
ADDI2-0235,donepezil,levetiracetam,T1_wellpowered,0,False,,development,20260819
ADDI2-0237,hydrocodone,cefdinir,T1_wellpowered,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0239,chlorpheniramine,lactulose,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0243,hydroxychloroquine,levetiracetam,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0244,citalopram,dicyclomine,T1_wellpowered,2,True,pk_inducer;pk_inhibitor,confirmatory,20260819
ADDI2-0245,levetiracetam,salmeterol,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0246,atenolol,methocarbamol,T1_wellpowered,0,False,,confirmatory,20260819
ADDI2-0251,atenolol,phenytoin,T2_moderate,2,True,pharmacogenetic;transporter_inhibitor,development,20260819
ADDI2-0252,celecoxib,levetiracetam,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0255,levetiracetam,methylphenidate,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0262,chlorpheniramine,sitagliptin,T2_moderate,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0265,lactulose,finasteride,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0270,levetiracetam,nitroglycerin,T2_moderate,0,False,,development,20260819
ADDI2-0271,levetiracetam,clindamycin,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0273,atenolol,dutasteride,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0274,sitagliptin,levetiracetam,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0277,ezetimibe,levetiracetam,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0282,atenolol,clarithromycin,T2_moderate,2,True,pharmacogenetic;transporter_inhibitor,confirmatory,20260819
ADDI2-0283,hydrocodone,cefuroxime,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0284,levetiracetam,finasteride,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0289,triamcinolone,levetiracetam,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0291,hydrocodone,oseltamivir,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0292,chlorpheniramine,nitrofurantoin,T2_moderate,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0293,atenolol,raloxifene,T2_moderate,1,True,biological_process,confirmatory,20260819
ADDI2-0302,levetiracetam,meloxicam,T2_moderate,0,False,,development,20260819
ADDI2-0304,levetiracetam,irbesartan,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0306,dextromethorphan,glipizide,T2_moderate,3,True,biological_process;pharmacogenetic;pk_inhibitor,confirmatory,20260819
ADDI2-0308,sildenafil,levetiracetam,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0310,hydrocodone,bisoprolol,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0311,chlorpheniramine,enalapril,T2_moderate,4,True,metab_transporter;pharmacogenetic;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0313,dextromethorphan,lactulose,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0319,ramipril,dextromethorphan,T2_moderate,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,development,20260819
ADDI2-0320,levetiracetam,memantine,T2_moderate,0,False,,development,20260819
ADDI2-0322,atenolol,ketoconazole,T2_moderate,2,True,biological_process;transporter_inhibitor,confirmatory,20260819
ADDI2-0327,isosorbide,dextromethorphan,T2_moderate,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0329,hydrocodone,moxifloxacin,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0330,isosorbide,levetiracetam,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0333,nitrofurantoin,levetiracetam,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0336,chlorpheniramine,triamterene,T2_moderate,1,True,pk_inhibitor,development,20260819
ADDI2-0348,chlorpheniramine,oseltamivir,T2_moderate,1,True,transporter_inhibitor,development,20260819
ADDI2-0350,levetiracetam,glipizide,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0351,nitrofurantoin,dextromethorphan,T2_moderate,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0353,citalopram,cefuroxime,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0360,dicyclomine,dextromethorphan,T2_moderate,2,True,pk_inducer;pk_inhibitor,confirmatory,20260819
ADDI2-0367,atenolol,valproate,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0368,dextromethorphan,oseltamivir,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0373,citalopram,dutasteride,T2_moderate,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0375,citalopram,oseltamivir,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0377,cefdinir,dextromethorphan,T2_moderate,2,True,pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0381,atenolol,memantine,T2_moderate,2,True,biological_process;transporter_inhibitor,confirmatory,20260819
ADDI2-0386,atenolol,cefuroxime,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0388,levetiracetam,solifenacin,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0395,hydrocodone,dutasteride,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0397,valganciclovir,levetiracetam,T2_moderate,0,False,,development,20260819
ADDI2-0401,levetiracetam,pemetrexed,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0402,dextromethorphan,glimepiride,T2_moderate,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0403,hydrocodone,memantine,T2_moderate,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0404,levetiracetam,tadalafil,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0406,levetiracetam,glimepiride,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0407,atenolol,cinacalcet,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0409,dicyclomine,levetiracetam,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0410,triamterene,dextromethorphan,T2_moderate,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0412,cefdinir,chlorpheniramine,T2_moderate,2,True,pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0413,dextromethorphan,solifenacin,T2_moderate,2,True,biological_process;pk_inhibitor,development,20260819
ADDI2-0414,cefdinir,citalopram,T2_moderate,2,True,pk_inhibitor;transporter_inhibitor,confirmatory,20260819
ADDI2-0417,moxifloxacin,dextromethorphan,T2_moderate,0,False,,development,20260819
ADDI2-0421,hydrocodone,alfuzosin,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0431,dutasteride,lactulose,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0433,hydrocodone,benztropine,T2_moderate,0,False,,development,20260819
ADDI2-0435,chlorpheniramine,moxifloxacin,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0440,atenolol,pemetrexed,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0442,phenazopyridine,citalopram,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0446,dextromethorphan,cefuroxime,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0447,levetiracetam,cefuroxime,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0452,levetiracetam,dutasteride,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0456,chlorpheniramine,cefuroxime,T2_moderate,1,True,transporter_inhibitor,development,20260819
ADDI2-0458,citalopram,valganciclovir,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0459,levetiracetam,pioglitazone,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0463,levetiracetam,oseltamivir,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0467,levetiracetam,alfuzosin,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0468,atenolol,cefdinir,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0469,atenolol,phenazopyridine,T2_moderate,0,False,,development,20260819
ADDI2-0477,triamterene,levetiracetam,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0478,atenolol,oseltamivir,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0483,valganciclovir,atenolol,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0484,chlorpheniramine,nabumetone,T2_moderate,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0485,moxifloxacin,levetiracetam,T2_moderate,0,False,,development,20260819
ADDI2-0490,dextromethorphan,emtricitabine,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0501,phenazopyridine,dextromethorphan,T2_moderate,0,False,,development,20260819
ADDI2-0502,hydrocodone,penicillin v potassium,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0504,chlorpheniramine,perindopril,T2_moderate,3,True,metab_transporter;pk_inhibitor;transporter_inhibitor,development,20260819
ADDI2-0505,hydrocodone,valganciclovir,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0510,dextromethorphan,dutasteride,T2_moderate,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0516,atenolol,eletriptan,T2_moderate,2,True,biological_process;transporter_inhibitor,development,20260819
ADDI2-0523,cefdinir,levetiracetam,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0528,atenolol,zolmitriptan,T2_moderate,1,True,biological_process,development,20260819
ADDI2-0531,dextromethorphan,pemetrexed,T2_moderate,1,True,pk_inducer,confirmatory,20260819
ADDI2-0532,atenolol,atomoxetine,T2_moderate,1,True,pharmacogenetic,confirmatory,20260819
ADDI2-0534,hydrocodone,pemetrexed,T2_moderate,1,True,pk_inducer,development,20260819
ADDI2-0539,levetiracetam,cinacalcet,T2_moderate,0,False,,development,20260819
ADDI2-0541,citalopram,pemetrexed,T2_moderate,1,True,pk_inducer,confirmatory,20260819
ADDI2-0549,dextromethorphan,nabumetone,T2_moderate,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0550,levetiracetam,niacin,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0554,dextromethorphan,alfuzosin,T2_moderate,2,True,biological_process;pk_inhibitor,confirmatory,20260819
ADDI2-0555,levetiracetam,atomoxetine,T2_moderate,0,False,,confirmatory,20260819
ADDI2-0560,tetracycline,atenolol,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0561,valganciclovir,chlorpheniramine,T2_moderate,1,True,transporter_inhibitor,confirmatory,20260819
ADDI2-0566,chlorpheniramine,zolmitriptan,T2_moderate,1,True,pk_inhibitor,confirmatory,20260819
ADDI2-0568,levetiracetam,eletriptan,T2_moderate,0,False,,confirmatory,20260819
