pair_id,drug_a,drug_b,tier,label_class,evidence
ADDI2-0053,atenolol,tramadol,T1_wellpowered,no_label_signal,
ADDI2-0054,atenolol,lansoprazole,T1_wellpowered,no_label_signal,
ADDI2-0055,citalopram,montelukast,T1_wellpowered,no_label_signal,
ADDI2-0056,pantoprazole,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0057,hydrocodone,famotidine,T1_wellpowered,no_label_signal,
ADDI2-0058,naproxen,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0059,heparin,albuterol,T1_wellpowered,no_label_signal,
ADDI2-0060,lisinopril,chlorpheniramine,T1_wellpowered,no_label_signal,
ADDI2-0061,citalopram,methotrexate,T1_wellpowered,no_label_signal,
ADDI2-0062,hydrocodone,methotrexate,T1_wellpowered,no_label_signal,
ADDI2-0063,furosemide,dextromethorphan,T1_wellpowered,no_label_signal,
ADDI2-0064,atenolol,ramipril,T1_wellpowered,no_label_signal,
ADDI2-0065,hydrocodone,diclofenac,T1_wellpowered,no_label_signal,
ADDI2-0066,fentanyl,heparin,T1_wellpowered,no_label_signal,
ADDI2-0067,hydrocodone,meloxicam,T1_wellpowered,no_label_signal,
ADDI2-0068,atenolol,pravastatin,T1_wellpowered,no_label_signal,
ADDI2-0069,atenolol,ezetimibe,T1_wellpowered,no_label_signal,
ADDI2-0070,celecoxib,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0071,levetiracetam,albuterol,T1_wellpowered,no_label_signal,
ADDI2-0072,ustekinumab,ibuprofen,T1_wellpowered,no_label_signal,
ADDI2-0073,citalopram,ramipril,T1_wellpowered,no_label_signal,
ADDI2-0074,atenolol,venlafaxine,T1_wellpowered,no_label_signal,
ADDI2-0075,hydrocodone,insulin glargine,T1_wellpowered,no_label_signal,
ADDI2-0076,ondansetron,levetiracetam,T1_wellpowered,no_label_signal,
ADDI2-0077,heparin,oxycodone,T1_wellpowered,no_label_signal,
ADDI2-0078,allopurinol,citalopram,T1_wellpowered,no_label_signal,
ADDI2-0079,ramipril,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0080,citalopram,zopiclone,T1_wellpowered,no_label_signal,
ADDI2-0081,salmeterol,citalopram,T1_wellpowered,no_label_signal,
ADDI2-0082,metformin,levetiracetam,T1_wellpowered,no_label_signal,
ADDI2-0083,chlorpheniramine,hydrochlorothiazide,T1_wellpowered,no_label_signal,
ADDI2-0084,hydrocodone,warfarin,T1_wellpowered,no_label_signal,
ADDI2-0085,conjugated estrogens,gabapentin,T1_wellpowered,no_label_signal,
ADDI2-0086,hydrocodone,salmeterol,T1_wellpowered,no_label_signal,
ADDI2-0087,famotidine,heparin,T1_wellpowered,no_label_signal,
ADDI2-0088,hydrocodone,cephalexin,T1_wellpowered,no_label_signal,
ADDI2-0089,atenolol,montelukast,T1_wellpowered,no_label_signal,
ADDI2-0090,hydrocodone,nitroglycerin,T1_wellpowered,no_label_signal,
ADDI2-0091,levetiracetam,acyclovir,T1_wellpowered,no_label_signal,
ADDI2-0092,atenolol,famotidine,T1_wellpowered,no_label_signal,
ADDI2-0093,ondansetron,atenolol,T1_wellpowered,no_label_signal,
ADDI2-0094,amoxicillin,citalopram,T1_wellpowered,no_label_signal,
ADDI2-0095,ustekinumab,tramadol,T1_wellpowered,no_label_signal,
ADDI2-0096,famotidine,levetiracetam,T1_wellpowered,no_label_signal,
ADDI2-0097,citalopram,famotidine,T1_wellpowered,no_label_signal,
ADDI2-0098,allopurinol,chlorpheniramine,T1_wellpowered,no_label_signal,
ADDI2-0099,citalopram,acyclovir,T1_wellpowered,no_label_signal,
ADDI2-0100,levetiracetam,quetiapine,T1_wellpowered,no_label_signal,
ADDI2-0101,metformin,dextromethorphan,T1_wellpowered,no_label_signal,
ADDI2-0102,ustekinumab,quetiapine,T1_wellpowered,no_label_signal,
ADDI2-0103,atenolol,irbesartan,T1_wellpowered,no_label_signal,
ADDI2-0104,atenolol,acyclovir,T1_wellpowered,no_label_signal,
ADDI2-0105,levetiracetam,ibuprofen,T1_wellpowered,no_label_signal,
ADDI2-0106,hydrocodone,glipizide,T1_wellpowered,no_label_signal,
ADDI2-0107,hydrocodone,levofloxacin,T1_wellpowered,no_label_signal,
ADDI2-0108,hydrocodone,triamcinolone,T1_wellpowered,no_label_signal,
ADDI2-0109,chlorpheniramine,amoxicillin,T1_wellpowered,no_label_signal,
ADDI2-0110,lisinopril,liraglutide,T1_wellpowered,no_label_signal,
ADDI2-0111,amlodipine,sevelamer,T1_wellpowered,no_label_signal,
ADDI2-0112,allopurinol,heparin,T1_wellpowered,no_label_signal,
ADDI2-0113,ustekinumab,doxycycline,T1_wellpowered,no_label_signal,
ADDI2-0114,azithromycin,heparin,T1_wellpowered,no_label_signal,
ADDI2-0115,metoclopramide,heparin,T1_wellpowered,no_label_signal,
ADDI2-0116,fluconazole,heparin,T1_wellpowered,no_label_signal,
ADDI2-0117,levetiracetam,clopidogrel,T1_wellpowered,no_label_signal,
ADDI2-0118,metronidazole,heparin,T1_wellpowered,no_label_signal,
ADDI2-0119,aspirin,sevelamer,T1_wellpowered,no_label_signal,
ADDI2-0120,lorazepam,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0121,ustekinumab,lansoprazole,T1_wellpowered,no_label_signal,
ADDI2-0122,hydrochlorothiazide,levetiracetam,T1_wellpowered,no_label_signal,
ADDI2-0123,dextromethorphan,hydrochlorothiazide,T1_wellpowered,no_label_signal,
ADDI2-0124,atenolol,prednisolone,T1_wellpowered,no_label_signal,
ADDI2-0125,famotidine,dextromethorphan,T1_wellpowered,no_label_signal,
ADDI2-0126,furosemide,sevelamer,T1_wellpowered,no_label_signal,
ADDI2-0127,heparin,acyclovir,T1_wellpowered,no_label_signal,
ADDI2-0128,metformin,heparin,T1_wellpowered,no_label_signal,
ADDI2-0129,levetiracetam,bisoprolol,T1_wellpowered,no_label_signal,
ADDI2-0130,conjugated estrogens,pregabalin,T1_wellpowered,no_label_signal,
ADDI2-0131,hydrochlorothiazide,heparin,T1_wellpowered,no_label_signal,
ADDI2-0132,allopurinol,levetiracetam,T1_wellpowered,no_label_signal,
ADDI2-0133,amoxicillin,levetiracetam,T1_wellpowered,no_label_signal,
ADDI2-0134,ciprofloxacin,heparin,T1_wellpowered,no_label_signal,
ADDI2-0135,conjugated estrogens,oxycodone,T1_wellpowered,no_label_signal,
ADDI2-0136,amoxicillin,heparin,T1_wellpowered,no_label_signal,
ADDI2-0137,levetiracetam,rosuvastatin,T1_wellpowered,no_label_signal,
ADDI2-0138,metformin,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0139,hydrocodone,isosorbide,T1_wellpowered,no_label_signal,
ADDI2-0140,heparin,tramadol,T1_wellpowered,no_label_signal,
ADDI2-0141,levetiracetam,prednisolone,T1_wellpowered,no_label_signal,
ADDI2-0142,metoprolol,sevelamer,T1_wellpowered,label_explicit_NONinteraction,named with an explicit no-interaction statement
ADDI2-0143,montelukast,levetiracetam,T1_wellpowered,no_label_signal,
ADDI2-0144,amoxicillin,dextromethorphan,T1_wellpowered,no_label_signal,
ADDI2-0145,hydrocodone,insulin lispro,T1_wellpowered,no_label_signal,
ADDI2-0146,ustekinumab,diphenhydramine,T1_wellpowered,no_label_signal,
ADDI2-0147,pantoprazole,sevelamer,T1_wellpowered,no_label_signal,
ADDI2-0148,acetaminophen,sevelamer,T1_wellpowered,no_label_signal,
ADDI2-0149,atenolol,conjugated estrogens,T1_wellpowered,no_label_signal,
ADDI2-0150,atorvastatin,sevelamer,T1_wellpowered,no_label_signal,
ADDI2-0151,acetaminophen,liraglutide,T1_wellpowered,no_label_signal,
ADDI2-0152,metoprolol,liraglutide,T1_wellpowered,no_label_signal,
ADDI2-0153,omeprazole,sevelamer,T1_wellpowered,no_label_signal,
ADDI2-0154,furosemide,dalteparin,T1_wellpowered,no_label_signal,
ADDI2-0155,atenolol,hydralazine,T1_wellpowered,no_label_signal,
ADDI2-0156,alprazolam,heparin,T1_wellpowered,no_label_signal,
ADDI2-0157,atenolol,pioglitazone,T1_wellpowered,no_label_signal,
ADDI2-0158,atenolol,perindopril,T1_wellpowered,no_label_signal,
ADDI2-0159,atenolol,fenofibrate,T1_wellpowered,no_label_signal,
ADDI2-0160,pantoprazole,liraglutide,T1_wellpowered,no_label_signal,
ADDI2-0161,carvedilol,sevelamer,T1_wellpowered,no_label_signal,
ADDI2-0162,atenolol,finasteride,T1_wellpowered,no_label_signal,
ADDI2-0163,azithromycin,atenolol,T1_wellpowered,no_label_signal,
ADDI2-0164,hydrocodone,fenofibrate,T1_wellpowered,no_label_signal,
ADDI2-0165,hydrocodone,sitagliptin,T1_wellpowered,no_label_signal,
ADDI2-0166,ramipril,levetiracetam,T1_wellpowered,no_label_signal,
ADDI2-0167,hydrocodone,conjugated estrogens,T1_wellpowered,no_label_signal,
ADDI2-0168,hydroxychloroquine,heparin,T1_wellpowered,label_explicit_INTERACTION,"nhibitors drugs such as nsaids (including salicylic acid, ibuprofen, indomethacin, and celecoxib), dextran, phenylbutazone, thienopyridines, dipyridamole, hydroxychloroquine, glycoprotein iib/iiia ant"
ADDI2-0169,levofloxacin,heparin,T1_wellpowered,no_label_signal,
ADDI2-0170,hydrocodone,nitrofurantoin,T1_wellpowered,no_label_signal,
ADDI2-0171,omeprazole,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0172,ranitidine,heparin,T1_wellpowered,no_label_signal,
ADDI2-0173,ondansetron,dalteparin,T1_wellpowered,no_label_signal,
ADDI2-0174,isosorbide,citalopram,T1_wellpowered,no_label_signal,
ADDI2-0175,levetiracetam,olanzapine,T1_wellpowered,no_label_signal,
ADDI2-0176,aspirin,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0177,atenolol,cyclosporine,T1_wellpowered,no_label_signal,
ADDI2-0178,hydrocodone,finasteride,T1_wellpowered,no_label_signal,
ADDI2-0179,chlorpheniramine,insulin glargine,T1_wellpowered,no_label_signal,
ADDI2-0180,citalopram,enalapril,T1_wellpowered,no_label_signal,
ADDI2-0181,chlorpheniramine,nitroglycerin,T1_wellpowered,no_label_signal,
ADDI2-0182,hydrocodone,glimepiride,T1_wellpowered,no_label_signal,
ADDI2-0183,methotrexate,heparin,T1_wellpowered,no_label_signal,
ADDI2-0184,atorvastatin,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0185,lamotrigine,atenolol,T1_wellpowered,no_label_signal,
ADDI2-0186,atenolol,doxycycline,T1_wellpowered,no_label_signal,
ADDI2-0187,amlodipine,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0188,allopurinol,dextromethorphan,T1_wellpowered,no_label_signal,
ADDI2-0189,dextromethorphan,acyclovir,T1_wellpowered,no_label_signal,
ADDI2-0190,hydrocodone,lactulose,T1_wellpowered,no_label_signal,
ADDI2-0191,fluconazole,atenolol,T1_wellpowered,no_label_signal,
ADDI2-0192,atenolol,triamcinolone,T1_wellpowered,no_label_signal,
ADDI2-0193,atenolol,gemfibrozil,T1_wellpowered,no_label_signal,
ADDI2-0194,allopurinol,sevelamer,T1_wellpowered,no_label_signal,
ADDI2-0195,ustekinumab,meloxicam,T1_wellpowered,no_label_signal,
ADDI2-0196,liraglutide,clopidogrel,T1_wellpowered,no_label_signal,
ADDI2-0197,lamotrigine,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0198,ranitidine,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0199,citalopram,finasteride,T1_wellpowered,no_label_signal,
ADDI2-0200,allopurinol,dalteparin,T1_wellpowered,no_label_signal,
ADDI2-0201,levetiracetam,naproxen,T1_wellpowered,no_label_signal,
ADDI2-0202,levetiracetam,warfarin,T1_wellpowered,no_label_signal,
ADDI2-0203,metoclopramide,dalteparin,T1_wellpowered,no_label_signal,
ADDI2-0204,citalopram,conjugated estrogens,T1_wellpowered,no_label_signal,
ADDI2-0205,citalopram,nitrofurantoin,T1_wellpowered,no_label_signal,
ADDI2-0206,atenolol,metronidazole,T1_wellpowered,no_label_signal,
ADDI2-0207,chlorpheniramine,sumatriptan,T1_wellpowered,no_label_signal,
ADDI2-0208,hydroxychloroquine,conjugated estrogens,T1_wellpowered,no_label_signal,
ADDI2-0209,triamcinolone,dextromethorphan,T1_wellpowered,no_label_signal,
ADDI2-0210,buprenorphine,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0211,ustekinumab,albuterol,T1_wellpowered,no_label_signal,
ADDI2-0212,citalopram,perindopril,T1_wellpowered,no_label_signal,
ADDI2-0213,lisinopril,sevelamer,T1_wellpowered,no_label_signal,
ADDI2-0214,atenolol,colchicine,T1_wellpowered,no_label_signal,
ADDI2-0215,isosorbide,heparin,T1_wellpowered,no_label_signal,
ADDI2-0216,hydralazine,sevelamer,T1_wellpowered,no_label_signal,
ADDI2-0217,chlorpheniramine,levofloxacin,T1_wellpowered,no_label_signal,
ADDI2-0218,atenolol,levofloxacin,T1_wellpowered,no_label_signal,
ADDI2-0219,prednisone,sevelamer,T1_wellpowered,no_label_signal,
ADDI2-0220,atomoxetine,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0221,dextromethorphan,insulin glargine,T1_wellpowered,no_label_signal,
ADDI2-0222,atenolol,cephalexin,T1_wellpowered,no_label_signal,
ADDI2-0223,atenolol,clindamycin,T1_wellpowered,no_label_signal,
ADDI2-0224,carvedilol,liraglutide,T1_wellpowered,no_label_signal,
ADDI2-0225,atenolol,sumatriptan,T1_wellpowered,no_label_signal,
ADDI2-0226,hydrocodone,donepezil,T1_wellpowered,no_label_signal,
ADDI2-0227,dextromethorphan,nitroglycerin,T1_wellpowered,no_label_signal,
ADDI2-0228,atenolol,nitrofurantoin,T1_wellpowered,no_label_signal,
ADDI2-0229,atenolol,dextromethorphan,T1_wellpowered,no_label_signal,
ADDI2-0230,sevelamer,oxycodone,T1_wellpowered,no_label_signal,
ADDI2-0231,allopurinol,liraglutide,T1_wellpowered,no_label_signal,
ADDI2-0232,sevelamer,clopidogrel,T1_wellpowered,no_label_signal,
ADDI2-0233,lorazepam,dalteparin,T1_wellpowered,no_label_signal,
ADDI2-0234,atenolol,solifenacin,T1_wellpowered,no_label_signal,
ADDI2-0235,donepezil,levetiracetam,T1_wellpowered,no_label_signal,
ADDI2-0236,liraglutide,oxycodone,T1_wellpowered,no_label_signal,
ADDI2-0237,hydrocodone,cefdinir,T1_wellpowered,no_label_signal,
ADDI2-0238,sevelamer,losartan,T1_wellpowered,no_label_signal,
ADDI2-0239,chlorpheniramine,lactulose,T1_wellpowered,no_label_signal,
ADDI2-0240,simvastatin,sevelamer,T1_wellpowered,no_label_signal,
ADDI2-0241,dextromethorphan,levofloxacin,T1_wellpowered,no_label_signal,
ADDI2-0242,liraglutide,tramadol,T1_wellpowered,no_label_signal,
ADDI2-0243,hydroxychloroquine,levetiracetam,T1_wellpowered,no_label_signal,
ADDI2-0244,citalopram,dicyclomine,T1_wellpowered,no_label_signal,
ADDI2-0245,levetiracetam,salmeterol,T1_wellpowered,no_label_signal,
ADDI2-0246,atenolol,methocarbamol,T1_wellpowered,no_label_signal,
ADDI2-0247,rosuvastatin,ustekinumab,T1_wellpowered,no_label_signal,
ADDI2-0248,liraglutide,bisoprolol,T1_wellpowered,no_label_signal,
ADDI2-0249,amoxicillin,dalteparin,T2_moderate,no_label_signal,
ADDI2-0250,ondansetron,sevelamer,T2_moderate,no_label_signal,
ADDI2-0251,atenolol,phenytoin,T2_moderate,no_label_signal,
ADDI2-0252,celecoxib,levetiracetam,T2_moderate,no_label_signal,
ADDI2-0253,sevelamer,albuterol,T2_moderate,no_label_signal,
ADDI2-0254,levetiracetam,doxycycline,T2_moderate,no_label_signal,
ADDI2-0255,levetiracetam,methylphenidate,T2_moderate,no_label_signal,
ADDI2-0256,ciprofloxacin,dalteparin,T2_moderate,no_label_signal,
ADDI2-0257,dextromethorphan,heparin,T2_moderate,no_label_signal,
ADDI2-0258,metronidazole,dalteparin,T2_moderate,no_label_signal,
ADDI2-0259,hydrochlorothiazide,ustekinumab,T2_moderate,no_label_signal,
ADDI2-0260,metformin,dalteparin,T2_moderate,no_label_signal,
ADDI2-0261,fluconazole,dalteparin,T2_moderate,no_label_signal,
ADDI2-0262,chlorpheniramine,sitagliptin,T2_moderate,no_label_signal,
ADDI2-0263,sevelamer,lansoprazole,T2_moderate,no_label_signal,
ADDI2-0264,pravastatin,liraglutide,T2_moderate,no_label_signal,
ADDI2-0265,lactulose,finasteride,T2_moderate,no_label_signal,
ADDI2-0266,metoprolol,ustekinumab,T2_moderate,no_label_signal,
ADDI2-0267,metoprolol,dalteparin,T2_moderate,no_label_signal,
ADDI2-0268,ustekinumab,losartan,T2_moderate,no_label_signal,
ADDI2-0269,famotidine,sevelamer,T2_moderate,no_label_signal,
ADDI2-0270,levetiracetam,nitroglycerin,T2_moderate,no_label_signal,
ADDI2-0271,levetiracetam,clindamycin,T2_moderate,no_label_signal,
ADDI2-0272,fentanyl,dalteparin,T2_moderate,no_label_signal,
ADDI2-0273,atenolol,dutasteride,T2_moderate,label_explicit_NONinteraction,named with an explicit no-interaction statement
ADDI2-0274,sitagliptin,levetiracetam,T2_moderate,no_label_signal,
ADDI2-0275,furosemide,ustekinumab,T2_moderate,no_label_signal,
ADDI2-0276,oseltamivir,heparin,T2_moderate,no_label_signal,
ADDI2-0277,ezetimibe,levetiracetam,T2_moderate,no_label_signal,
ADDI2-0278,conjugated estrogens,nitroglycerin,T2_moderate,no_label_signal,
ADDI2-0279,sevelamer,warfarin,T2_moderate,label_explicit_NONinteraction,named with an explicit no-interaction statement
ADDI2-0280,baclofen,heparin,T2_moderate,no_label_signal,
ADDI2-0281,ustekinumab,bisoprolol,T2_moderate,no_label_signal,
ADDI2-0282,atenolol,clarithromycin,T2_moderate,no_label_signal,
ADDI2-0283,hydrocodone,cefuroxime,T2_moderate,no_label_signal,
ADDI2-0284,levetiracetam,finasteride,T2_moderate,no_label_signal,
ADDI2-0285,insulin lispro,dextromethorphan,T2_moderate,no_label_signal,
ADDI2-0286,sevelamer,tramadol,T2_moderate,no_label_signal,
ADDI2-0287,conjugated estrogens,metoclopramide,T2_moderate,no_label_signal,
ADDI2-0288,hydrocodone,liraglutide,T2_moderate,no_label_signal,
ADDI2-0289,triamcinolone,levetiracetam,T2_moderate,no_label_signal,
ADDI2-0290,heparin,cefuroxime,T2_moderate,no_label_signal,
ADDI2-0291,hydrocodone,oseltamivir,T2_moderate,no_label_signal,
ADDI2-0292,chlorpheniramine,nitrofurantoin,T2_moderate,no_label_signal,
ADDI2-0293,atenolol,raloxifene,T2_moderate,no_label_signal,
ADDI2-0294,diphenhydramine,sevelamer,T2_moderate,no_label_signal,
ADDI2-0295,hydrocodone,sevelamer,T2_moderate,no_label_signal,
ADDI2-0296,ustekinumab,sertraline,T2_moderate,no_label_signal,
ADDI2-0297,valganciclovir,heparin,T2_moderate,no_label_signal,
ADDI2-0298,diphenhydramine,liraglutide,T2_moderate,no_label_signal,
ADDI2-0299,methotrexate,liraglutide,T2_moderate,no_label_signal,
ADDI2-0300,sevelamer,acyclovir,T2_moderate,no_label_signal,
ADDI2-0301,tizanidine,heparin,T2_moderate,no_label_signal,
ADDI2-0302,levetiracetam,meloxicam,T2_moderate,no_label_signal,
ADDI2-0303,amoxicillin,liraglutide,T2_moderate,no_label_signal,
ADDI2-0304,levetiracetam,irbesartan,T2_moderate,no_label_signal,
ADDI2-0305,conjugated estrogens,nitrofurantoin,T2_moderate,no_label_signal,
ADDI2-0306,dextromethorphan,glipizide,T2_moderate,no_label_signal,
ADDI2-0307,ustekinumab,amitriptyline,T2_moderate,no_label_signal,
ADDI2-0308,sildenafil,levetiracetam,T2_moderate,no_label_signal,
ADDI2-0309,rosuvastatin,sevelamer,T2_moderate,no_label_signal,
ADDI2-0310,hydrocodone,bisoprolol,T2_moderate,no_label_signal,
ADDI2-0311,chlorpheniramine,enalapril,T2_moderate,no_label_signal,
ADDI2-0312,sevelamer,sertraline,T2_moderate,no_label_signal,
ADDI2-0313,dextromethorphan,lactulose,T2_moderate,no_label_signal,
ADDI2-0314,metronidazole,ustekinumab,T2_moderate,no_label_signal,
ADDI2-0315,ustekinumab,trazodone,T2_moderate,no_label_signal,
ADDI2-0316,lidocaine,sevelamer,T2_moderate,no_label_signal,
ADDI2-0317,venlafaxine,liraglutide,T2_moderate,no_label_signal,
ADDI2-0318,lorazepam,sevelamer,T2_moderate,no_label_signal,
ADDI2-0319,ramipril,dextromethorphan,T2_moderate,no_label_signal,
ADDI2-0320,levetiracetam,memantine,T2_moderate,no_label_signal,
ADDI2-0321,zolpidem,ustekinumab,T2_moderate,no_label_signal,
ADDI2-0322,atenolol,ketoconazole,T2_moderate,no_label_signal,
ADDI2-0323,zolpidem,sevelamer,T2_moderate,no_label_signal,
ADDI2-0324,alprazolam,sevelamer,T2_moderate,no_label_signal,
ADDI2-0325,dextromethorphan,ustekinumab,T2_moderate,no_label_signal,
ADDI2-0326,famotidine,liraglutide,T2_moderate,no_label_signal,
ADDI2-0327,isosorbide,dextromethorphan,T2_moderate,no_label_signal,
ADDI2-0328,cephalexin,heparin,T2_moderate,no_label_signal,
ADDI2-0329,hydrocodone,moxifloxacin,T2_moderate,no_label_signal,
ADDI2-0330,isosorbide,levetiracetam,T2_moderate,no_label_signal,
ADDI2-0331,chlorpheniramine,ustekinumab,T2_moderate,no_label_signal,
ADDI2-0332,azithromycin,liraglutide,T2_moderate,no_label_signal,
ADDI2-0333,nitrofurantoin,levetiracetam,T2_moderate,no_label_signal,
ADDI2-0334,sitagliptin,heparin,T2_moderate,no_label_signal,
ADDI2-0335,ciprofloxacin,ustekinumab,T2_moderate,no_label_signal,
ADDI2-0336,chlorpheniramine,triamterene,T2_moderate,no_label_signal,
ADDI2-0337,conjugated estrogens,methocarbamol,T2_moderate,no_label_signal,
ADDI2-0338,methotrexate,dalteparin,T2_moderate,no_label_signal,
ADDI2-0339,heparin,granisetron,T2_moderate,no_label_signal,
ADDI2-0340,montelukast,ustekinumab,T2_moderate,no_label_signal,
ADDI2-0341,citalopram,ustekinumab,T2_moderate,no_label_signal,
ADDI2-0342,ondansetron,ustekinumab,T2_moderate,no_label_signal,
ADDI2-0343,lamotrigine,heparin,T2_moderate,no_label_signal,
ADDI2-0344,allopurinol,ustekinumab,T2_moderate,no_label_signal,
ADDI2-0345,colchicine,heparin,T2_moderate,no_label_signal,
ADDI2-0346,ustekinumab,clopidogrel,T2_moderate,no_label_signal,
ADDI2-0347,isosorbide,sevelamer,T2_moderate,no_label_signal,
ADDI2-0348,chlorpheniramine,oseltamivir,T2_moderate,no_label_signal,
ADDI2-0349,chlorpheniramine,dalteparin,T2_moderate,no_label_signal,
ADDI2-0350,levetiracetam,glipizide,T2_moderate,no_label_signal,
ADDI2-0351,nitrofurantoin,dextromethorphan,T2_moderate,no_label_signal,
ADDI2-0352,enalapril,liraglutide,T2_moderate,no_label_signal,
ADDI2-0353,citalopram,cefuroxime,T2_moderate,no_label_signal,
ADDI2-0354,ranitidine,dalteparin,T2_moderate,no_label_signal,
ADDI2-0355,sevelamer,bisoprolol,T2_moderate,no_label_signal,
ADDI2-0356,azithromycin,sevelamer,T2_moderate,no_label_signal,
